,French,English
1593,méchant,bad
1594,paradis,paradise
1595,proche,close
1596,rejoindre,to rejoin
1597,lors,during
1598,nombre,number
1599,crains,fear
1600,règle,rule
1601,frapper,to hit
1602,intention,intention
1603,succès,success
1604,forte,strong
1605,gentille,kind
1606,campagne,countryside
1607,raisons,reasons
1608,malgré,despite
1609,alcool,alcohol
1610,regardé,look at
1611,jerry,jerry
1612,billets,tickets
1613,fantastique,fantastic
1614,lee,lee
1615,théâtre,theater
1616,vôtre,your
1617,samedi,Saturday
1618,pluie,rain
1619,fermé,firm
1620,relation,relationship
1621,frappé,hit
1622,restaurant,restaurant
1623,douce,gentle
1624,maladie,disease
1625,parlait,spoke
1626,raté,missed
1627,casse,broken
1628,dessous,underneath
1629,pourrai,can
1630,victoire,Victoire
1631,voudrait,would like
1632,remarqué,remark
1633,assurer,to assure
1634,pleure,cry
1635,bouteille,bottle
1636,gare,station
1637,carrière,career
1638,sentiments,feelings
1639,suivi,monitoring
1640,vies,lives
1641,fiston,son
1642,vendu,sold
1643,attendant,waiting
1644,pourras,can
1645,amoureuse,love
1646,mens,mens
1647,falloir,to need
1648,chinois,Chinese
1649,étranger,foreigner
1650,appelait,called
1651,assure,ensures
1652,étant,being
1653,queue,tail
1654,odeur,smell
1655,enlève,remove
1656,produit,product
1657,meurs,die
1658,secrets,secret
1659,pression,pressure
1660,fatigué,tiredness
1661,aies,have
1662,plage,Beach
1663,okay,okay
1664,animal,animal
1665,frappe,hit
1666,montagne,Mountain
1667,coffre,chest
1668,passage,passage
1669,suivant,following
1670,signal,signal
1671,discours,speech
1672,cents,cents
1673,claire,Claire
1674,g,g
1675,rivière,river
1676,costume,suit
1677,prendra,will take
1678,souhaite,wish
1679,hasard,hazard
1680,journaux,newspapers
1681,aveugle,blind
1682,lis,Lily
1683,demandez,ask for
1684,retraite,retirement
1685,afin,in order to
1686,vendredi,Friday
1687,van,van
1688,auraient,would have
1689,obligé,obligatory
1690,major,major
1691,neige,snow
1692,remercier,to thank
1693,fusil,musket
1694,gardes,guards
1695,faible,weak
1696,pauvres,poor
1697,noirs,black
1698,gâteau,cake
1699,cesse,cease
1700,parfaitement,perfectly
1701,excuses,excuses
1702,viande,meat
1703,ministre,Minister
1704,univers,universe
1705,vienne,vienne
1706,utile,useful
1707,demandais,requested
1708,crétin,dumbass
1709,gaffe,blunder
1710,cache,hidden
1711,disant,saying
1712,décider,decide
1713,dort,sleeping
1714,gaz,gas
1715,blancs,whites
1716,connaissance,awareness
1717,vouliez,wanted
1718,jake,jake
1719,vidéo,video
1720,bataille,battle
1721,vive,lively
1722,anna,anna
1723,martin,martin
1724,iui,IUI
1725,os,bone
1726,entend,hears
1727,jeux,games
1728,will,will
1729,verras,verras
1730,date,dated
1731,échapper,escape
1732,naissance,birth
1733,droits,rights
1734,assassin,assassin
1735,attendu,expected
1736,montez,climb
1737,nouvel,new
1738,pensent,think
1739,génie,genius
1740,sérieusement,seriously
1741,cible,target
1742,prépare,prepare
1743,agir,to act
1744,militaire,military
1745,futur,future
1746,attraper,to grab
1747,bal,ball
1748,europe,Europe
1749,californie,California
1750,donnez,give
1751,cousin,cousin
1752,vert,green
1753,poids,weight
1754,volonté,will
1755,ventre,stomach
1756,accepte,accepted
1757,amené,bring
1758,recevoir,to receive
1759,inquiétez,worry
1760,perd,lout
1761,autrement,otherwise
1762,informations,information
1763,titre,title
1764,célèbre,famous
1765,couple,couple
1766,sexy,sexy
1767,serons,be
1768,certaine,certain
1769,parlons,let's talk
1770,star,star
1771,étoiles,stars
1772,rome,Rome
1773,los,the bone
1774,répondu,answered
1775,resté,just stay
1776,charmant,charming
1777,puissant,powerful
1778,zéro,zero
1779,genoux,knees
1780,mine,mine
1781,couilles,balls
1782,pilote,pilot
1783,maria,maria
1784,style,style
1785,ramène,brings back
1786,voulons,want to
1787,embrasser,to kiss
1788,amener,to bring
1789,valeur,value
1790,fortune,fortune
1791,reprendre,to resume
1792,revenez,come back
1793,vieil,old
1794,walter,Walter
1795,servi,served
1796,arrivés,arrivals
1797,lève,survey
1798,voleur,thief
1799,côtés,sides
1800,chris,chris
1801,note,note
1802,préféré,prefer
1803,couché,layer
1804,milliers,thousands
1805,aéroport,airport
1806,prévenir,to inform
1807,château,Chateau
1808,apparemment,apparently
1809,gardez,keep
1810,privé,private
1811,détails,details
1812,larry,larry
1813,direct,direct
1814,reposer,rest
1815,commande,ordered
1816,cherchez,search
1817,fer,iron
1818,conduit,conduit
1819,conscience,consciousness
1820,oreilles,ears
1821,conversation,conversation
1822,regardes,looked
1823,joues,play
1824,ennemis,enemies
1825,attendent,wait
1826,article,article
1827,dieux,gods
1828,talent,talent
1829,aise,easy
1830,poulet,chicken
1831,passée,past
1832,comprend,understand
1833,gorge,throat
1834,feras,ferry
1835,tribunal,court
1836,découvrir,discover
1837,agréable,pleasant
1838,jette,throw
1839,test,test
1840,emmerde,fetch
1841,détruit,destroy
1842,nerveux,nervous
1843,saint,Holy
1844,marrant,funny
1845,joindre,join
1846,sentiment,feeling
1847,lance,spear
1848,humaine,humane
1849,acte,act
1850,jane,Jane
1851,pis,worse
1852,enculé,fucked
1853,tuée,killed
1854,saura,will know
1855,doigt,finger
1856,pourrez,can
1857,passera,will pass
1858,horreur,horror
1859,comptes,accounts
1860,dernières,last
1861,violence,violence
1862,fumer,to smoke
1863,invités,guests
1864,parlais,were talking
1865,job,job
1866,salon,salon
1867,défendre,defend
1868,mariés,brides
1869,rock,rock
1870,apporter,to bring
1871,coupé,cut
1872,repos,rest
1873,paquet,package
1874,page,page
1875,utilise,use
1876,victimes,victims
1877,sage,wise
1878,aidé,aid
1879,intelligent,clever
1880,ombre,shadow
1881,vache,cow
1882,désert,desert
1883,forêt,Forest
1884,parfaite,perfect
1885,tombée,fell
1886,extérieur,outside
1887,entré,Between
1888,série,series
1889,concerne,concerning
1890,paroles,words
1891,dira,say
1892,it,it
1893,champion,champion
1894,fbi,FBI
1895,lundi,Monday
1896,moteur,motor
1897,ouverte,opened
1898,mince,slim
1899,al,al
1900,russe,Russian
1901,grandi,grown up
1902,rappelles,remembers
1903,dormi,dormish
1904,ordinateur,computer
1905,in,in
1906,angeles,Angeles
1907,accepté,accepted
1908,désormais,from now on
1909,acteur,actor
1910,membres,members
1911,trouvée,found
1912,pete,pete
1913,surpris,surprised
1914,miracle,miracle
1915,vole,Fly
1916,manquer,to lack
1917,franchement,frankly
1918,apprécie,appreciate
1919,cigarette,cigarette
1920,chemise,shirt
1921,mark,mark
1922,tente,attempted
1923,faisant,making
1924,billet,ticket
1925,reculez,steer
1926,moyens,means
1927,importante,important
1928,unité,unity
1929,champagne,Champagne
1930,pensait,thought
1931,www,www
1932,partager,to share
1933,smith,smith
1934,minuit,midnight
1935,américaine,american
1936,courses,racing
1937,puissance,power
1938,william,William
1939,nombreux,numerous
1940,réparer,to fix
1941,caché,hidden
1942,haute,high
1943,sommeil,sleep
1944,essence,essence
1945,riches,rich
1946,lac,Lake
1947,maire,mayor
1948,mode,fashion
1949,vingt,twenty
1950,reviendra,will come back
1951,pousse,pump
1952,amusant,amusing
1953,passez,pass
1954,services,services
1955,doc,doc
1956,rues,rues
1957,of,of
1958,risques,risks
1959,émission,episode
1960,leçon,lesson
1961,annonce,announcement
1962,plans,plans
1963,usine,plant
1964,louis,louis
1965,imaginer,to imagine
1966,chauffeur,driver
1967,marque,Mark
1968,parc,Park
1969,épée,sword
1970,fesses,buttocks
1971,échange,exchange
1972,souvenirs,memories
1973,créer,to create
1974,senti,felt
1975,signer,sign
1976,artiste,artist
1977,jeté,thrown
1978,réveiller,wake
1979,hiver,winter
1980,également,also
1981,hum,hum
1982,souffle,breath
1983,vrais,true
1984,arbres,trees
1985,saute,jumped up
1986,fuir,to run away
1987,meme,same
1988,battu,beaten
1989,permission,permission
1990,casser,to break
1991,chicago,Chicago
1992,allemands,German
1993,utilisé,used
1994,mentir,lie
1995,souci,worry
1996,é,e
1997,coûte,cost
1998,paye,paid
